学生ID,学生姓名,性别,民族,入学年份,出生日期,家庭住址,家庭类型,政治面貌,入学排名,宿舍号,是否退学
13975,韩灿灿,女,汉族,2017,2001-07-15,广西壮族自治区玉林市北流市,城镇,共青团员,433,-1,0
13976,许枫,女,汉族,2016,2002-08-04,云南省昆明市禄劝彝族苗族自治县,城镇,共青团员,434,-1,0
13977,秦寻南,男,汉族,2016,2001-04-26,上海市上海市静安区,城镇,共青团员,435,-1,0
13978,何冰彤,女,汉族,2016,2002-02-19,云南省昭通市大关县,城镇,共青团员,436,-1,0
13979,王婷,女,汉族,2017,2001-01-25,江苏省苏州市昆山市,城镇,共青团员,437,-1,0
13980,周茜,男,汉族,2016,2002-06-25,江西省九江市瑞昌市,城镇,共青团员,438,-1,0
13981,茹姣,男,汉族,2017,2001-06-07,吉林省四平市四平市,城镇,共青团员,439,-1,0
13982,郑嘉,男,汉族,2017,2002-04-15,安徽省淮南市八公山区,城镇,共青团员,440,203,0
13983,孙晶,男,汉族,2016,2001-01-19,海南省乐东黎族自治县,城镇,共青团员,441,-1,0
13984,周玫,女,汉族,2016,2001-11-19,陕西省西安市西安市,城镇,共青团员,442,-1,0
13985,冯凡,男,汉族,2016,2001-05-10,吉林省延边朝鲜族自治州图们市,城镇,共青团员,443,-1,0
13986,魏程燕,男,汉族,2016,2001-01-06,上海市上海市长宁区,城镇,共青团员,444,-1,0
13987,褚灿灿,男,汉族,2017,2002-11-02,内蒙古自治区兴安盟突泉县,城镇,共青团员,445,305,0
13988,杨胜珍,女,汉族,2016,2001-07-17,云南省昆明市官渡区,城镇,共青团员,446,-1,0
13989,金梅香,女,汉族,2016,2001-05-04,吉林省白山市抚松县,城镇,共青团员,447,-1,0
13990,金大秀,女,汉族,2017,2002-05-17,重庆市重庆市忠县,城镇,共青团员,448,406,0
13991,蒋大芬,女,汉族,2016,2001-05-08,河北省石家庄市灵寿县,城镇,共青团员,449,-1,0
13992,严欢,女,汉族,2016,2001-02-02,浙江省宁波市余姚市,城镇,共青团员,450,504,0
13993,陈海莲,女,汉族,2017,2001-06-18,新疆维吾尔自治区喀什地区疏勒县,城镇,共青团员,451,503,0
13994,孔蓓,女,汉族,2016,2001-11-06,河北省保定市涿州市,城镇,共青团员,452,-1,0
13995,蒋昌菊,男,汉族,2017,2001-02-20,湖南省邵阳市双清区,城镇,共青团员,453,-1,0
13996,戚勤,男,汉族,2016,2002-08-17,宁夏回族自治区固原市彭阳县,城镇,共青团员,454,-1,0
13997,华子鑫,男,汉族,2017,2002-03-02,安徽省蚌埠市蚌山区,城镇,共青团员,455,-1,0
13998,伍醉薇,男,汉族,2016,2001-06-01,江苏省泰州市海陵区,城镇,共青团员,456,-1,0
13999,褚兴,男,汉族,2017,2001-06-08,河南省洛阳市涧西区,城镇,共青团员,457,306,0
14000,郑苑,男,汉族,2016,2001-02-13,广东省湛江市徐闻县,城镇,共青团员,458,-1,0
14001,曹颖,男,汉族,2016,2002-01-03,山东省聊城市莘县,城镇,共青团员,459,202,0
14002,郑育,男,汉族,2017,2002-04-14,辽宁省抚顺市望花区,城镇,共青团员,460,-1,0
14003,杨梦娇,女,汉族,2016,2002-03-25,江苏省常州市溧阳市,城镇,共青团员,461,408,0
14004,戚涛,女,汉族,2017,2001-01-07,云南省普洱市江城哈尼族彝族自治县,城镇,共青团员,462,-1,0
14005,赵宛海,女,汉族,2016,2002-04-04,山西省忻州市神池县,城镇,共青团员,463,-1,0
14006,冯寒,女,汉族,2016,2001-10-07,云南省楚雄彝族自治州永仁县,城镇,共青团员,464,-1,0
14007,蒋纨,女,汉族,2017,2001-02-17,湖南省永州市江华瑶族自治县,城镇,共青团员,465,-1,0
14008,杨之瑶,女,汉族,2017,2002-02-06,内蒙古自治区呼和浩特市新城区,城镇,共青团员,466,502,0
14009,孙梅香,男,汉族,2017,2002-05-14,江苏省淮安市清江浦区,城镇,共青团员,467,-1,0
14010,戚凝,男,汉族,2017,2002-07-01,广东省惠州市龙门县,城镇,共青团员,468,203,0
14011,严嘉,女,汉族,2017,2002-09-13,吉林省延边朝鲜族自治州珲春市,城镇,共青团员,469,505,0
14012,钱琰,女,汉族,2016,2002-02-13,河南省商丘市夏邑县,城镇,共青团员,470,-1,0
14013,褚娅,女,汉族,2017,2001-08-09,山西省大同市广灵县,城镇,共青团员,471,-1,0
14014,冯山柳,男,汉族,2017,2001-09-09,安徽省淮北市烈山区,城镇,共青团员,472,-1,0
14015,孙采绿,男,汉族,2017,2001-11-25,贵州省铜仁市印江土家族苗族自治县,城镇,共青团员,473,-1,0
16000,戚惠,女,汉族,2017,2001-09-17,广东省肇庆市怀集县,城镇,少先队员,474,-1,0
14016,孔寒雁,男,汉族,2016,2001-09-12,山西省临汾市永和县,城镇,共青团员,475,-1,0
14017,李瑞,男,汉族,2017,2001-03-13,云南省玉溪市元江哈尼族彝族傣族自治县,城镇,共青团员,476,-1,0
14018,褚亚,男,汉族,2017,2001-01-13,甘肃省陇南市两当县,城镇,共青团员,477,301,0
14019,李沛文,女,汉族,2016,2001-01-19,辽宁省辽阳市辽阳市,城镇,一般,478,-1,0
14020,褚德群,女,汉族,2017,2002-05-02,四川省自贡市富顺县,城镇,一般,479,-1,0
14021,冯显,女,汉族,2016,2001-06-09,山西省阳泉市矿区,城镇,共青团员,480,-1,0
14022,华欣阳,女,汉族,2016,2001-03-10,山西省晋中市榆次区,城镇,共青团员,481,-1,0
14023,唐嘎妹,男,汉族,2016,2002-07-27,西藏自治区山南市山南市,城镇,共青团员,482,-1,0
14024,第五心媛,男,汉族,2017,2001-10-24,青海省西宁市湟源县,城镇,共青团员,483,-1,0
14025,何阳涌,男,汉族,2017,2002-08-25,四川省南充市嘉陵区,城镇,共青团员,484,-1,0
14026,李尔珍,男,汉族,2017,2002-07-10,陕西省渭南市蒲城县,城镇,共青团员,485,306,0
14027,卫冷安,女,汉族,2016,2001-05-07,河南省新乡市获嘉县,城镇,共青团员,486,-1,0
14028,何寻南,女,汉族,2017,2002-08-14,山西省长治市壶关县,城镇,共青团员,487,-1,0
14029,戚鑫月,女,汉族,2016,2001-06-23,四川省德阳市旌阳区,城镇,共青团员,488,-1,0
14030,严媛,女,汉族,2017,2001-04-10,河南省南阳市淅川县,城镇,共青团员,489,402,0
14067,秦苹,男,汉族,2016,2002-02-04,黑龙江省伊春市上甘岭区,城镇,共青团员,490,-1,0
14031,冯元琼,女,汉族,2017,2001-05-07,四川省南充市西充县,城镇,共青团员,491,-1,0
14032,金小珍,女,汉族,2017,2002-08-09,云南省红河哈尼族彝族自治州石屏县,城镇,共青团员,492,-1,0
14033,朱计香,女,汉族,2016,2001-06-13,广东省广州市白云区,城镇,共青团员,493,-1,0
14034,孔福兰,男,汉族,2016,2001-07-11,新疆维吾尔自治区阿拉尔市,城镇,共青团员,494,-1,0
14035,冯璧,男,汉族,2017,2002-02-23,甘肃省天水市甘谷县,城镇,共青团员,495,-1,0
14036,金红,男,汉族,2016,2002-09-17,甘肃省天水市张家川回族自治县,城镇,共青团员,496,-1,0
14037,张丹,男,汉族,2017,2001-07-11,四川省资阳市安岳县,城镇,共青团员,497,319,0
14038,褚夏梅,男,汉族,2016,2002-01-20,四川省广安市武胜县,城镇,共青团员,498,-1,0
14039,郑秋荣,男,汉族,2016,2001-07-13,四川省成都市成华区,城镇,共青团员,499,-1,0
14040,华彩霞,男,汉族,2016,2002-05-24,山东省济南市市中区,城镇,共青团员,500,-1,0
14041,尤兴,男,汉族,2017,2002-08-08,安徽省铜陵市郊区,城镇,共青团员,501,-1,0
14042,樊开凤,女,汉族,2017,2002-01-23,山东省济南市平阴县,城镇,共青团员,502,-1,0
14043,何莎,女,汉族,2016,2002-04-04,河北省沧州市吴桥县,城镇,共青团员,503,-1,0
14044,魏显丽,女,汉族,2017,2002-07-12,山东省枣庄市山亭区,城镇,共青团员,504,505,0
14045,沈欣悦,女,汉族,2017,2002-05-05,青海省西宁市大通回族土族自治县,城镇,共青团员,505,403,0
14046,孙耀文,女,汉族,2016,2001-03-10,山东省莱芜市钢城区,城镇,共青团员,506,-1,0
14047,吕婷婷,女,汉族,2017,2002-01-18,黑龙江省佳木斯市抚远市,城镇,共青团员,507,406,0
14048,云颖,男,汉族,2016,2002-11-16,江苏省淮安市淮阴区,城镇,共青团员,508,-1,0
14049,壤驷仪,男,汉族,2017,2001-09-27,山西省大同市广灵县,城镇,共青团员,509,304,0
14050,韦耀文,女,汉族,2017,2002-07-15,四川省内江市东兴区,城镇,共青团员,510,605,0
14051,魏文涛,女,汉族,2017,2001-02-22,福建省三明市将乐县,城镇,共青团员,511,-1,0
14052,韩碧香,女,汉族,2016,2001-04-16,四川省乐山市峨眉山市,城镇,一般,512,-1,0
14053,解恩珍,女,汉族,2016,2002-06-22,山西省阳泉市矿区,城镇,共青团员,513,-1,0
14054,褚海燕,女,汉族,2016,2001-02-10,山东省德州市禹城市,城镇,共青团员,514,-1,0
14055,严敏,女,汉族,2017,2001-09-03,四川省雅安市雨城区,城镇,共青团员,515,404,0
14056,李树平,男,汉族,2016,2002-03-09,江苏省无锡市新吴区,城镇,一般,516,-1,0
14057,曹显丽,男,汉族,2016,2002-11-07,湖北省随州市随县,城镇,一般,517,-1,0
14058,韦啟倩,女,汉族,2017,2002-02-21,广东省肇庆市德庆县,城镇,共青团员,518,-1,0
14059,吕红,男,汉族,2017,2001-11-03,安徽省阜阳市颍东区,城镇,共青团员,519,-1,0
14060,穆育,男,汉族,2017,2001-04-24,甘肃省白银市景泰县,城镇,共青团员,520,-1,0
14061,胡红,女,汉族,2017,2001-11-14,广东省云浮市郁南县,城镇,共青团员,521,-1,0
14062,卫莎,女,汉族,2016,2001-01-26,浙江省丽水市莲都区,城镇,共青团员,522,-1,0
14063,孙寒,女,汉族,2017,2002-02-03,安徽省宿州市灵璧县,城镇,共青团员,523,-1,0
14064,曹叶,女,汉族,2017,2001-01-14,黑龙江省哈尔滨市延寿县,城镇,共青团员,524,-1,0
14065,魏半雪,男,汉族,2017,2001-02-23,黑龙江省牡丹江市绥芬河市,城镇,共青团员,525,-1,0
14066,吴莺,女,汉族,2017,2002-08-08,河南省洛阳市西工区,城镇,共青团员,526,-1,0
14068,林园,女,汉族,2016,2001-10-20,西藏自治区山南市洛扎县,城镇,共青团员,527,-1,0
14069,周海莲,女,汉族,2017,2002-04-06,陕西省汉中市佛坪县,城镇,共青团员,528,-1,0
14070,陈乐萱,女,汉族,2017,2002-04-19,湖北省孝感市汉川市,城镇,共青团员,529,-1,0
14071,金世兰,女,汉族,2016,2002-02-08,辽宁省鞍山市台安县,城镇,共青团员,530,-1,0
14072,朱敏婷,女,汉族,2016,2001-02-27,黑龙江省哈尔滨市双城区,城镇,共青团员,531,-1,0
14073,吕山柳,男,汉族,2017,2001-03-24,江西省抚州市黎川县,城镇,共青团员,532,-1,0
14074,吕良翠,男,汉族,2017,2002-10-08,山西省吕梁市文水县,城镇,共青团员,533,-1,0
14075,赵灿灿,男,汉族,2016,2001-11-02,广东省云浮市罗定市,城镇,共青团员,534,-1,0
14076,张秋菊,女,汉族,2016,2001-04-27,山东省德州市禹城市,城镇,共青团员,535,-1,0
14077,卫琰,女,汉族,2017,2001-01-15,西藏自治区昌都市八宿县,城镇,共青团员,536,-1,0
14078,许大芬,女,汉族,2017,2002-01-03,辽宁省大连市旅顺口区,城镇,共青团员,537,-1,0
14079,孔翠安,男,汉族,2017,2002-05-14,广东省湛江市廉江市,城镇,共青团员,538,-1,0
14080,雷露,女,汉族,2016,2001-01-19,浙江省嘉兴市桐乡市,城镇,共青团员,539,-1,0
14081,李帮菊,女,汉族,2016,2001-01-24,福建省泉州市安溪县,城镇,共青团员,540,-1,0
14082,褚紫君,女,汉族,2016,2001-02-10,广西壮族自治区梧州市万秀区,城镇,共青团员,541,-1,0
14083,曹帮菊,男,汉族,2017,2001-10-01,江苏省扬州市广陵区,城镇,共青团员,542,-1,0
14084,郑亚,男,汉族,2017,2001-08-14,吉林省白山市抚松县,城镇,共青团员,543,-1,0
14085,孔静,男,汉族,2016,2001-10-24,吉林省通化市集安市,城镇,共青团员,544,-1,0
14086,韩涵菡,男,汉族,2017,2001-01-03,湖北省襄阳市谷城县,城镇,共青团员,545,-1,0
14087,朱慧,女,汉族,2017,2002-11-04,贵州省贵阳市贵阳市,城镇,共青团员,546,-1,0
14088,卫二丫,女,汉族,2017,2001-11-11,安徽省阜阳市界首市,城镇,共青团员,547,-1,0
14089,赵成倩,女,汉族,2016,2001-03-02,云南省文山壮族苗族自治州西畴县,城镇,共青团员,548,-1,0
14090,华开萍,女,汉族,2016,2002-02-10,黑龙江省齐齐哈尔市梅里斯达斡尔族区,城镇,共青团员,549,-1,0
14091,郑紫霜,男,汉族,2017,2002-08-19,河北省邢台市沙河市,城镇,共青团员,550,-1,0
14092,顾乐之,男,汉族,2016,2001-03-24,青海省海南藏族自治州贵德县,城镇,共青团员,551,-1,0
14093,卫明珠,女,汉族,2016,2002-01-09,贵州省铜仁市玉屏侗族自治县,城镇,共青团员,552,-1,0
14094,吕竹,男,汉族,2016,2002-05-06,辽宁省大连市金州区,城镇,共青团员,553,-1,0
14095,王景燕,男,汉族,2016,2001-05-08,山西省朔州市应县,城镇,共青团员,554,-1,0
14096,严娴,女,汉族,2017,2001-10-24,甘肃省定西市漳县,城镇,共青团员,555,-1,0
14097,魏凝,男,汉族,2016,2002-10-19,福建省三明市梅列区,城镇,共青团员,556,202,0
14098,姜欣,女,汉族,2016,2002-10-14,广东省阳江市阳西县,城镇,共青团员,557,-1,0
14099,金露,男,汉族,2017,2002-02-27,湖南省怀化市洪江市,城镇,共青团员,558,305,0
14100,沈欢,男,汉族,2016,2002-03-01,黑龙江省双鸭山市双鸭山市,城镇,共青团员,559,-1,0
14101,卫琴,女,汉族,2016,2001-05-05,江西省赣州市大余县,城镇,共青团员,560,-1,0
14102,卫梦,女,汉族,2017,2002-04-16,上海市上海市虹口区,城镇,共青团员,561,-1,0
14103,李雪萍,男,汉族,2016,2001-07-17,辽宁省丹东市振安区,城镇,共青团员,562,-1,0
14104,秦琦,男,汉族,2017,2001-05-17,四川省南充市嘉陵区,城镇,共青团员,563,-1,0
14105,赵杰,女,汉族,2017,2001-11-24,辽宁省大连市大连市,城镇,共青团员,564,-1,0
14106,杨艳红,男,汉族,2017,2001-04-08,辽宁省抚顺市新宾满族自治县,城镇,共青团员,565,-1,0
14107,何香薇,男,汉族,2016,2002-06-16,湖北省宜昌市兴山县,城镇,共青团员,566,-1,0
14108,王叶,男,汉族,2017,2002-09-19,海南省三亚市崖州区,城镇,共青团员,567,-1,0
14109,陈昌菊,男,汉族,2016,2001-02-18,甘肃省白银市靖远县,城镇,共青团员,568,-1,0
14110,吴朱婷,男,汉族,2016,2001-02-21,湖南省湘潭市韶山市,城镇,共青团员,569,-1,0
14111,曹美丽,男,汉族,2017,2002-08-10,广东省云浮市云浮市,城镇,共青团员,570,-1,0
14112,吕婕,女,汉族,2016,2002-10-11,湖南省邵阳市北塔区,城镇,共青团员,571,-1,0
14113,吴桂,女,汉族,2016,2001-09-21,河北省邯郸市武安市,城镇,共青团员,572,-1,0
14114,王茜,男,汉族,2016,2002-07-06,山西省运城市平陆县,城镇,共青团员,573,-1,0
14115,杨洪丽,女,汉族,2016,2001-09-21,安徽省安庆市安庆市,城镇,共青团员,574,-1,0
14490,施旭,男,汉族,2016,2001-10-12,山东省聊城市东昌府区,城镇,共青团员,575,-1,0
14116,钱夏梅,女,汉族,2017,2001-06-21,甘肃省定西市临洮县,城镇,共青团员,576,-1,0
14117,台玉凤,女,汉族,2017,2001-03-12,福建省漳州市漳州市,城镇,共青团员,577,-1,0
14118,尤茜,女,汉族,2017,2002-09-10,河北省保定市蠡县,城镇,共青团员,578,-1,0
14119,孔静雯,女,汉族,2016,2002-06-22,吉林省长春市长春市,城镇,共青团员,579,-1,0
14120,滕娇娇,男,汉族,2016,2002-05-15,河南省平顶山市鲁山县,城镇,共青团员,580,-1,0
14121,蒋萍,女,汉族,2017,2001-08-10,湖北省恩施土家族苗族自治州巴东县,城镇,共青团员,581,-1,0
14122,杨婷,女,汉族,2016,2002-07-08,贵州省毕节市七星关区,城镇,共青团员,582,406,0
14123,严灿怡,男,汉族,2017,2001-05-18,青海省海东市平安区,城镇,共青团员,583,-1,0
14124,冯梦,男,汉族,2016,2001-11-19,陕西省安康市安康市,城镇,共青团员,584,-1,0
14125,王红,女,汉族,2017,2001-06-03,福建省泉州市南安市,城镇,共青团员,585,-1,0
14126,沈启英,男,汉族,2016,2001-05-18,新疆维吾尔自治区伊犁哈萨克自治州尼勒克县,城镇,共青团员,586,-1,0
14127,秦傲文,女,汉族,2016,2001-01-16,湖北省武汉市汉阳区,城镇,共青团员,587,-1,0
14128,何青,女,汉族,2016,2002-02-01,河北省邢台市沙河市,城镇,共青团员,588,-1,0
14129,韩芸,女,汉族,2016,2001-05-06,广西壮族自治区河池市都安瑶族自治县,城镇,共青团员,589,-1,0
14130,顾元珊,女,汉族,2016,2002-03-10,山东省临沂市平邑县,城镇,共青团员,590,407,0
14131,王彤,女,汉族,2016,2001-11-24,青海省海西蒙古族藏族自治州乌兰县,城镇,共青团员,591,-1,0
14132,金娟,男,汉族,2016,2002-06-03,河北省保定市唐县,城镇,共青团员,592,-1,0
14133,王莉莎,男,汉族,2017,2001-11-06,山东省烟台市莱州市,城镇,共青团员,593,-1,0
14134,郑雪,男,汉族,2017,2001-10-26,山东省济南市商河县,城镇,共青团员,594,-1,0
14135,曹瑾,女,汉族,2017,2001-08-19,广西壮族自治区梧州市岑溪市,城镇,共青团员,595,404,0
14136,杨易梦,男,汉族,2016,2002-01-18,陕西省汉中市汉中市,城镇,共青团员,596,-1,0
14137,李夏雪,女,汉族,2016,2001-03-04,山东省淄博市沂源县,城镇,共青团员,597,-1,0
14138,吕瑗,女,汉族,2017,2002-10-08,河南省郑州市二七区,城镇,共青团员,598,-1,0
14139,陈咏,男,汉族,2016,2002-08-20,四川省阿坝藏族羌族自治州阿坝县,城镇,共青团员,599,307,0
14140,穆雪萍,男,汉族,2017,2001-04-14,广东省茂名市高州市,城镇,共青团员,600,301,0
14141,陶子彤,男,汉族,2017,2001-07-17,陕西省咸阳市淳化县,城镇,共青团员,601,304,0
14358,陶丹,女,汉族,2016,2001-08-21,宁夏回族自治区银川市永宁县,城镇,共青团员,602,-1,0
14142,张金花,女,汉族,2016,2002-05-21,甘肃省张掖市甘州区,城镇,共青团员,603,-1,0
14143,孔欣琪,女,汉族,2016,2001-03-18,陕西省渭南市蒲城县,城镇,共青团员,604,-1,0
14144,孙桂兰,女,汉族,2017,2001-03-15,河南省平顶山市平顶山市,城镇,共青团员,605,-1,0
14145,严倩,男,汉族,2016,2002-09-22,山西省吕梁市汾阳市,城镇,共青团员,606,-1,0
14146,华有菊,男,汉族,2017,2001-05-01,江西省赣州市会昌县,城镇,共青团员,607,-1,0
14147,卫孝洁,女,汉族,2016,2001-03-10,河北省石家庄市晋州市,城镇,共青团员,608,-1,0
14491,王南莲,男,汉族,2017,2002-03-07,广东省河源市紫金县,城镇,一般,609,319,0
14148,钱荷,男,汉族,2017,2001-01-13,广东省梅州市梅州市,城镇,共青团员,610,-1,0
14149,郑春燕,女,汉族,2016,2002-03-17,湖北省十堰市房县,城镇,共青团员,611,-1,0
14150,赵采绿,女,汉族,2017,2002-11-21,西藏自治区那曲地区双湖县,城镇,共青团员,612,-1,0
14151,郑亦瑶,女,汉族,2016,2002-10-13,宁夏回族自治区中卫市海原县,城镇,共青团员,613,502,0
14152,韩雪,女,汉族,2017,2002-03-27,河南省鹤壁市鹤山区,城镇,共青团员,614,408,0
14153,滕蕊,男,汉族,2017,2002-11-19,广西壮族自治区崇左市扶绥县,城镇,共青团员,615,-1,0
14154,杨媛,女,汉族,2016,2001-09-15,重庆市重庆市九龙坡区,城镇,共青团员,616,-1,0
14155,曹金玫,女,汉族,2016,2001-04-24,黑龙江省佳木斯市桦川县,城镇,共青团员,617,-1,0
14156,周惜雪,女,汉族,2016,2001-01-21,贵州省黔南布依族苗族自治州都匀市,城镇,共青团员,618,-1,0
14157,许丽红,男,汉族,2017,2001-07-19,湖南省郴州市宜章县,城镇,共青团员,619,-1,0
14158,陶世群,男,汉族,2016,2002-01-01,安徽省安庆市桐城市,城镇,共青团员,620,203,0
14159,赵庆黎,男,汉族,2016,2001-10-03,甘肃省兰州市皋兰县,城镇,共青团员,621,-1,0
14160,何欣琪,男,汉族,2016,2002-10-09,广西壮族自治区桂林市叠彩区,城镇,共青团员,622,-1,0
14161,昌蓓,男,汉族,2017,2002-08-06,山东省青岛市市南区,城镇,共青团员,623,-1,0
14162,陶访琴,女,汉族,2016,2002-02-16,湖北省襄阳市南漳县,城镇,共青团员,624,-1,0
14163,陶育,女,汉族,2017,2001-08-01,西藏自治区拉萨市林周县,城镇,共青团员,625,-1,0
14164,施璧,女,汉族,2016,2001-10-17,辽宁省营口市大石桥市,城镇,共青团员,626,-1,0
14165,东方灵竹,女,汉族,2016,2001-09-11,安徽省宿州市砀山县,城镇,共青团员,627,-1,0
14166,曹计香,女,汉族,2017,2002-05-14,河北省保定市容城县,城镇,共青团员,628,-1,0
14167,孙铠沣,女,汉族,2017,2001-10-08,贵州省遵义市湄潭县,城镇,共青团员,629,-1,0
14168,赵燕,男,汉族,2017,2002-10-17,陕西省渭南市韩城市,城镇,共青团员,630,-1,0
14169,卫育彤,女,汉族,2016,2001-11-24,重庆市重庆市酉阳土家族苗族自治县,城镇,共青团员,631,404,0
14170,吴丽,男,汉族,2016,2002-11-09,安徽省阜阳市颍州区,城镇,共青团员,632,301,0
14171,沈雁,女,汉族,2016,2002-04-27,陕西省榆林市府谷县,城镇,共青团员,633,-1,0
14172,郑大芬,女,汉族,2016,2002-09-06,山东省青岛市莱西市,城镇,共青团员,634,-1,0
14173,许万敏,男,汉族,2016,2002-05-23,四川省南充市南部县,城镇,共青团员,635,301,0
14174,何大芬,男,汉族,2016,2001-06-06,山东省潍坊市高密市,城镇,共青团员,636,-1,0
14175,魏红,女,汉族,2016,2002-08-21,四川省巴中市恩阳区,城镇,共青团员,637,-1,0
14176,陶龙婷,女,汉族,2017,2002-03-18,四川省宜宾市长宁县,城镇,共青团员,638,-1,0
14177,蒋含卉,男,汉族,2017,2001-08-03,内蒙古自治区阿拉善盟阿拉善右旗,城镇,共青团员,639,304,0
14178,魏香薇,男,汉族,2017,2001-03-27,河北省承德市双桥区,城镇,共青团员,640,-1,0
14179,苏良翠,女,汉族,2017,2002-10-08,贵州省毕节市黔西县,城镇,共青团员,641,-1,0
14180,施文秀,女,汉族,2017,2001-01-16,新疆维吾尔自治区阿勒泰地区富蕴县,城镇,共青团员,642,-1,0
14181,许亦瑶,男,汉族,2016,2001-05-13,河南省开封市兰考县,城镇,共青团员,643,-1,0
14182,赵侦,男,汉族,2017,2002-04-03,贵州省黔东南苗族侗族自治州凯里市,城镇,共青团员,644,-1,0
14183,杭聪,男,汉族,2017,2001-09-03,河北省唐山市滦南县,城镇,共青团员,645,-1,0
14184,卫金花,女,汉族,2016,2001-07-12,陕西省榆林市定边县,城镇,共青团员,646,-1,0
14185,钱欣,女,汉族,2017,2001-07-12,山东省济宁市金乡县,城镇,共青团员,647,-1,0
14186,朱政群,女,汉族,2017,2002-03-27,辽宁省辽阳市弓长岭区,城镇,共青团员,648,-1,0
14187,金秋,男,汉族,2017,2002-08-22,黑龙江省大庆市红岗区,城镇,共青团员,649,204,0
14188,钱莎莎,男,汉族,2017,2002-06-24,河北省张家口市怀来县,城镇,共青团员,650,302,0
14189,尤荔,女,汉族,2017,2001-09-07,河北省邢台市桥东区,城镇,共青团员,651,-1,0
14190,胡功碧,女,汉族,2016,2002-03-09,山东省济南市平阴县,城镇,共青团员,652,408,0
14191,尤燕,男,汉族,2016,2002-01-17,陕西省宝鸡市陇县,城镇,共青团员,653,-1,0
14192,朱厚菊,男,汉族,2017,2002-04-09,河北省邢台市宁晋县,城镇,共青团员,654,-1,0
14193,冯银姣,男,汉族,2017,2002-08-08,新疆维吾尔自治区哈密市伊州区,城镇,共青团员,655,-1,0
14194,郑念念,男,汉族,2016,2002-10-06,广东省湛江市遂溪县,城镇,共青团员,656,-1,0
14195,李婷婷,男,汉族,2017,2001-02-22,安徽省铜陵市郊区,城镇,共青团员,657,307,0
14196,孙妹妹,男,汉族,2017,2001-07-21,河北省衡水市深州市,城镇,共青团员,658,-1,0
14197,施凡,男,汉族,2017,2001-05-03,广东省梅州市梅江区,城镇,共青团员,659,-1,0
14198,陈淇,女,汉族,2017,2002-10-11,新疆维吾尔自治区哈密市伊吾县,城镇,共青团员,660,408,0
14199,费咏,女,汉族,2017,2002-07-22,甘肃省平凉市静宁县,城镇,共青团员,661,-1,0
14200,吴可,男,汉族,2017,2001-05-07,浙江省杭州市拱墅区,城镇,共青团员,662,205,0
14201,云凡,男,汉族,2016,2001-11-22,广东省江门市江海区,城镇,共青团员,663,-1,0
14202,郁孝洁,女,汉族,2016,2002-07-27,广西壮族自治区梧州市岑溪市,城镇,共青团员,664,-1,0
14203,陈妙海,女,汉族,2016,2001-11-12,湖北省孝感市应城市,城镇,共青团员,665,-1,0
14204,许雁,女,汉族,2016,2002-03-19,广东省云浮市郁南县,城镇,共青团员,666,-1,0
14205,吕巧丽,男,汉族,2016,2002-07-15,云南省曲靖市罗平县,城镇,共青团员,667,207,0
14206,魏孝洁,女,汉族,2016,2002-04-17,湖南省郴州市苏仙区,城镇,共青团员,668,-1,0
14207,姜晓,男,汉族,2017,2002-05-12,湖南省益阳市益阳市,城镇,共青团员,669,204,0
14208,严莉,男,汉族,2017,2001-08-04,山东省菏泽市鄄城县,城镇,共青团员,670,305,0
14209,经融,女,汉族,2017,2002-04-04,江西省新余市新余市,城镇,共青团员,671,-1,0
14210,许蕊,男,汉族,2017,2002-08-22,江苏省南京市南京市,城镇,共青团员,672,204,0
14211,吴谷波,男,汉族,2016,2002-10-02,广西壮族自治区河池市河池市,城镇,共青团员,673,307,0
14212,金灵竹,男,汉族,2017,2001-03-08,湖北省武汉市黄陂区,城镇,共青团员,674,305,0
14213,姜璧,男,汉族,2016,2001-01-19,江苏省苏州市苏州市,城镇,共青团员,675,-1,0
14214,蒋芯蕊,女,汉族,2016,2002-02-06,四川省甘孜藏族自治州丹巴县,城镇,共青团员,676,-1,0
14215,孔朱娇,女,汉族,2017,2001-03-18,吉林省长春市双阳区,城镇,共青团员,677,-1,0
14216,许粤,男,汉族,2017,2002-05-09,广东省韶关市浈江区,城镇,共青团员,678,-1,0
14217,王慧,男,汉族,2017,2002-03-03,四川省成都市锦江区,城镇,共青团员,679,207,0
14218,倪翠安,男,汉族,2016,2001-04-16,安徽省滁州市来安县,城镇,共青团员,680,-1,0
14219,沈良翠,男,汉族,2017,2001-10-04,新疆维吾尔自治区喀什地区喀什市,城镇,共青团员,681,202,0
14220,卫园,女,汉族,2017,2001-02-22,湖北省襄阳市宜城市,城镇,共青团员,682,404,0
14221,卫莎莎,男,汉族,2016,2001-08-22,河南省洛阳市新安县,城镇,共青团员,683,-1,0
14222,冯丽,男,汉族,2017,2002-05-21,山西省临汾市洪洞县,城镇,共青团员,684,-1,0
14223,冯兰燕,女,汉族,2017,2001-10-17,河南省周口市周口市,城镇,共青团员,685,-1,0
14224,吕梦娇,女,汉族,2017,2002-11-23,湖南省邵阳市邵阳市,城镇,共青团员,686,-1,0
14225,吉景燕,女,汉族,2017,2001-06-22,山西省运城市河津市,城镇,共青团员,687,-1,0
14226,何程悦,男,汉族,2016,2002-09-23,浙江省绍兴市越城区,城镇,共青团员,688,-1,0
14227,朱半芹,男,汉族,2017,2002-02-13,河北省张家口市万全区,城镇,共青团员,689,-1,0
